ward,precinct,name,address,accessible
3,36,Sherwood Park,5701 S Shields Av,True
3,37,Liberty Baptist Church,4849 S M L King Jr Dr,False
3,38,Pioneer Village,340 E 38 St,True
3,39,Soka Gakkai International USA,1455 S Wabash Av,True
3,40,Long Grove House,2001 S Michigan Av,True
3,41,Lincoln Perry Sr Bldg,3245 S Prairie Av,True
4,1,Hyde Park Club,5480 S Kenwood Av,True
4,2,1130 S Michigan Apts,1130 S Michigan Av,True
4,3,Mary Jane Richardson Apts,4930 S Langley,True
4,4,Lake Parc Apts,3939 S Lake Park Av,True
4,5,Kennicott Park,4434 S Lake Park Av,True
4,6,Cambridge Manor Apts,2631 S Indiana Av,True
4,7,Vivian Gordon Harsh Apartments,4227 S Oakenwald Av,True
4,8,North Washington Park Manor,550 E 50 Pl,True
4,9,Harper Square Co-Operative,4850 S Lake Park Av,True
4,10,Kennicott Park,4434 S Lake Park Av,True
4,11,Donoghue School,707 E 37 St,True
4,12,Mary Jane Richardson Apts,4930 S Langley,True
4,13,Jones College Prep,606 S State St,True
4,14,South Commons Phase 1 Condo,2921 S Michigan Av,False
4,15,Alpha Towers,936 E 47 St,True
4,16,1130 S Michigan Apts,1130 S Michigan Av,True
4,17,Grace Episcopal Church,637 S Dearborn St,True
4,18,Judge Slater Apartments,740 E 43 St,True
4,19,Lawless Garden Apartments,3510 S Rhodes Av,True
4,20,Dearborn Station,47 W Polk St,True
4,21,Jones College Prep,606 S State St,True
4,22,Shoesmith School,1330 E 50 St,True
4,23,Shoesmith School,1330 E 50 St,True
4,24,Shoesmith School,1330 E 50 St,True
4,25,Michigan Ave Lofts,910 S Michigan Av,True
4,26,Washington Park Apartments,4949 S Cottage Grove,True
4,27,United Church Of Hyde Park,1448 E 53 St,True
4,28,Prairie Shores Apts,2901 S M L King Dr,True
4,29,Judge Slater Apartments,740 E 43 St,True
4,30,Donoghue School,707 E 37 St,True
4,31,Newport Condo Assoc,4800 S Chicago Beach Dr,True
4,32,North Eastern University,700 E Oakwood,True
4,33,Drexel Square Apts,810 E Hyde Park Bv,True
4,34,Martin L King High School,4445 S Drexel Av,True
4,35,Lake Meadows Condominium,601 E 32 St,True
4,36,Martin L King Library,3436 S M L King Dr,True
4,37,South Loop School,1212 S Plymouth Ct,True
4,38,Lake Meadows Apt,401 E 32 St,True
5,1,OKeefe School,6940 S Merrill Av,True
5,2,Revere School,1010 E 72 St,True
5,3,Augustana Lutheran Ch,5500 S Woodlawn Av,True
5,4,Kozminski Cmty Academy,936 E 54 St,True
5,5,Island Terrace Apartments,6430 S Stony Island Av,True
5,6,St Philip Neri School,2110 E 72 St,True
5,7,Regents Park Apartments,5050 S Lake Shore Dr,True
5,8,Ray School,5631 S Kimbark Av,True
5,9,Church Of Latter Day Saints,5200 S University Av,False
5,10,Parkside School,6938 S East End Av,True
5,11,Carolan Apts,5480 S Cornell Av,True
5,12,St Paul Evangelical Luth Church,7621 S Dorchester Av,True
5,13,Woodlawn Cmty School,6657 S Kimbark Av,True
5,14,St Philip Neri School,2110 E 72 St,True
5,15,Hyde Park West Apartments,5325 S Cottage Grove,True
5,16,Wadsworth Stem School,6650 S Ellis Av,True
5,17,The Parkways,6720 S East End Av,True
5,18,Catholic Theological Union,5401 S Cornell Av,True
5,19,Pioneer Co - Op,5429 S Dorchester Av,False
5,20,Congregation Rodfei Zedek,5200 S Hyde Park Bv,True
5,21,Kozminski Cmty Academy,936 E 54 St,True
5,22,Regents Park Apartments,5050 S Lake Shore Dr,True
5,23,Catholic Theological Union,5401 S Cornell Av,True
5,24,Treasure Island Foods,1526 E 55 St,True
5,25,The Parkways,6720 S East End Av,True
5,26,Shorewind Towers,2373 E 70 St,True
5,27,Ray School,5631 S Kimbark Av,True
5,28,ABJ Community Svcs,1818 E 71 St,True
5,29,Senior Suites Of South Shore,2355 E 67 St,True
5,30,South Shore Fine Arts Acdy,1415 E 70 St,True
5,31,OKeefe School,6940 S Merrill Av,True
5,32,Senior Suites Of South Shore,2355 E 67 St,True
5,33,Park Shore East Assoc,6250 S Harper Av,True
5,34,The Cloisters,5801 S Dorchester Av,True
5,35,1700 E 56th St Condo Assoc,1700 E 56 St,True
5,36,Cyril Apts,7150 S Cyril Av,False
5,37,Montgomery Place,5550 S South Shore Dr,True
5,38,OKeefe School,6940 S Merrill Av,True
5,39,University Park Condo,1450 E 55 Pl,True
5,40,OKeefe School,6940 S Merrill Av,True
5,41,1700 E 56th St Condo Assoc,1700 E 56 St,True
6,1,Crerar Presbyterian Church,8100 S Calumet Av,False
6,2,Whitney Young Library,7901 S King Dr,True
6,3,Pirie School,650 E 85 St,True
6,4,Lafayette Plaza House,50 W 71 St,True
6,5,St Paul MB Church,6954 S Union Av,True
6,6,Salem Lutheran Church,318 E 74 St,False
6,7,Park Manor School,7037 S Rhodes Av,True
6,8,Carter Temple Church,7841 S Wabash Av,True
6,9,Brownell School,6741 S Michigan Av,False
6,10,Hamilton Park,513 W 72 St,False
6,11,7th Day Adventist Acdy,7008 S Michigan Av,False
6,12,Hamilton Park,513 W 72 St,False
6,13,St Mark Lutheran Church,655 E 88 St,True
6,14,Israel Methodist Cmty Church,7614 S Cottage Grove,True
6,15,Paul Robeson High School,6835 S Normal Av,True
6,16,Macedonia Tabernacle Ch,109 E 75 St,True
6,17,Harvard School,7525 S Harvard Av,True
6,18,Alden Wentworth Nrsng Hm,201 W 69 St,False
6,19,Pleasant Green MB Church,7545 S Vincennes Av,True
6,20,Harvard School,7525 S Harvard Av,True
6,21,Wentworth School,7007 S Loomis St,True
6,22,Cleveland Tabernacle Ch,7119 S Racine Av,True
6,23,Bond School,7050 S May St,True
6,24,Bass School,1140 W 66 St,True
6,25,St Paul MB Church,6954 S Union Av,True
6,26,Salvation Army,945 W 69 St,True
6,27,Salvation Army,945 W 69 St,True
6,28,Robert Lawrence Senior Housing,655 W 65 St,True
6,29,Neil School,8555 S Michigan Av,True
6,30,Park Manor Christian Church,600 E 73 St,False
6,31,Pirie School,650 E 85 St,True
6,32,Deneen School,7240 S Wabash Av,True
6,33,Salem Lutheran Church,318 E 74 St,False
6,34,Chatham Fields Lutheran Church,8050 S St Lawrence Av,True
6,35,Ruggles School,7831 S Prairie Av,True
6,36,Dixon School,8306 S St Lawrence Av,True
6,37,Neil School,8555 S Michigan Av,True
6,38,Dixon School,8306 S St Lawrence Av,True
6,39,Tanner School,7350 S Evans Av,True
6,40,Park Manor Christian Church,600 E 73 St,False
6,41,Carter Temple Church,7841 S Wabash Av,True
6,42,Chatham Fields Lutheran Church,8050 S St Lawrence Av,True
6,43,St Dorothy School,7740 S Eberhart Av,False
6,44,Whitney Young Library,7901 S King Dr,True
6,45,Dixon School,8306 S St Lawrence Av,True
6,46,St Dorothy School,7740 S Eberhart Av,False
6,47,Wentworth Haven Homes,7147 S Wentworth Av,True
6,48,St Columbanus Church,329 E 71 St,True
7,1,South Shore Bible Bapt Church,7159 S Cornell Av,False
7,2,Woodhull Park,7340 S East End Av,True
7,3,South Shore United Methodist Ch,7350 S Jeffery Bv,True
7,4,South Shore Community Church,7401 S Yates Bv,False
7,5,South Shore Library,2505 E 73 St,False
7,6,Black School,7133 S Coles Av,False
7,7,South Shore Community Church,7401 S Yates Bv,False
7,8,Coles Supportive Living Ctr,7419 S Exchange Av,True
7,9,Lake Terrace Condo Assoc,7337 S South Shore Dr,True
7,10,CYC Rebecca Crown Cmty Ctr,7601 S Phillips Av,True
7,11,CYC Rebecca Crown Cmty Ctr,7601 S Phillips Av,True
